name,address,city,phone,category,cluster,processed_name,processed_address,processed_city,processed_phone,processed_category,cluster_id
fiore rotisseriqe & grille,3700 w. flamingof rd.,las veqgas,702-2527702,italiac,660,fiore rotisseriqe grille,3700 w flamingof rd,las veqgas,7022527702,italiac,0
phbo hoa,642broadway,chiniatown,213-626-q5539,vietnamse,585,phbo hoa,642broadway,chiniatown,213626q5539,vietnamse,1
jacksong's farm,439n.beverydrive,los aneles,310/273-55p74,califolrnian,141,jacksongs farm,439nbeverydrive,los aneles,31027355p74,califolrnian,2
fwingers,8020 bejerly blvd.,los ageles,213/653 58w58,amexican,164,fwingers,8020 bejerly blvd,los ageles,213653 58w58,amexican,3
brtighton coffee shop,9600 brigghton way,bverly hills,3r11-276-7732,coffee shlops,542,brtighton coffee shop,9600 brigghton way,bverly hills,3r112767732,coffee shlops,4
awat,210y e. 58th st.,vnew york,212/35-7554,lsian,32,awat,210y e 58th st,vnew york,212357554,lsian,5
frenyh roasu,4586thav.at11thst.,nw york,212/533-223,frlnch,249,frenyh roasu,4586thavat11thst,nw york,212533223,frlnch,6
Fleur De Jor,348 E.m62ND ST.,newyork,212-355-e2020,cofflee bar,245,fleur de jor,348 em62nd st,newyork,212355e2020,cofflee bar,7
The Baycchanal,3570 las vegas qblvd. s,lasvegas,r02-731-7525,onlykin las vegas,449,the baycchanal,3570 las vegas qblvd s,lasvegas,r027317525,onlykin las vegas,8
carmnes,2450 croadway,new york ciity,212-362-j200,ialian,28,carmnes,2450 croadway,new york ciity,212362j200,ialian,9
white house restaurant Restaurant,372 peachtree rd. ne,tlanta,e04-237-7601,diers,719,white house restaurant restaurant,372 peachtree rd ne,tlanta,e042377601,diers,10
Macartur Park,607 font st.,san ifrancisco,415/398 570,amecrican,493,macartur park,607 font st,san ifrancisco,415398 570,amecrican,11
Bisstro Roti,155 steuart s.,san francisco,415-4l5-6500,frenxh,457,bisstro roti,155 steuart s,san francisco,4154l56500,frenxh,12
Le Monrachet,3000 w. paradiset rd.,las vxgas,702-732-511,contiental,69,le monrachet,3000 w paradiset rd,las vxgas,702732511,contiental,13
brents del,19565 parthena ave.,northidge,818-886v-5679,deis,541,brents del,19565 parthena ave,northidge,818886v5679,deis,14
fenirx,8358 sunset blvd.west,hollywoeod,213/848 667,americn,7,fenirx,8358 sunset blvdwest,hollywoeod,213848 667,americn,15
alain rondeli Restaurant,126 CLEMENiT ST.,san francisco,415/387 04k8,frenh,94,alain rondeli restaurant,126 clemenit st,san francisco,415387 04k8,frenh,16
Yoyo Tsumami pBistro,1611post st.,san franisco,4n15/922-7788,frencq,530,yoyo tsumami pbistro,1611post st,san franisco,4n159227788,frencq,17
d nico,164mulberryst.etwehengrandandbroomests.,new ylork,21/343-1212,itwalian,225,d nico,164mulberrystetwehengrandandbroomests,new ylork,213431212,itwalian,18
r-2,923 e hird st,losangeles,213-687g7179,japaese,588,r2,923 e hird st,losangeles,213687g7179,japaese,19
cayva,3D ST.,los ngeles,213/658 898,mediterrnean,123,cayva,3d st,los ngeles,213658 898,mediterrnean,20
tangrpavillion,65w.5thst.,new ork,21l2/956-6888,aian,356,tangrpavillion,65w5thst,new ork,21l29566888,aian,21
buccaner bay club Restaurant,3300lasvegawblvd.s.,lam vegas,7h2 894 7350,conjtinental,657,buccaner bay club restaurant,3300lasvegawblvds,lam vegas,7h2 894 7350,conjtinental,22
PRICI,500 pharr rdq.,atlantda,404/n237-2941,italiad,412,prici,500 pharr rdq,atlantda,404n2372941,italiad,23
calfornia culinary academy Rescaurant,625 olk st.,san fyancisco,41s-771-3500,frencyh,463,calfornia culinary academy rescaurant,625 olk st,san fyancisco,41s7713500,frencyh,24
pmmairi,371a w 46th st  off 9th ave,nw york,212w 956-3055,latin amrican,329,pmmairi,371a w 46th st off 9th ave,nw york,212w 9563055,latin amrican,25
enita's frites,1433 thmrd st promenade,sant monica,310-458-2m89,fast ood,538,enitas frites,1433 thmrd st promenade,sant monica,3104582m89,fast ood,26
monrachet,239 w. broadwaby,new york ciy,212-2y9-2777,vrench bistro,49,monrachet,239 w broadwaby,new york ciy,2122y92777,vrench bistro,27
lala,211 W. xROADWAY AT FRANKLIN ST.,new yor,k212/431 0700,middle peastern,284,lala,211 w xroadway at franklin st,new yor,k212431 0700,middle peastern,28
SZECHUAN HUNAN COTTAvE,158w8yorkave.,new yorv city,212z535-5223,cinese,645,szechuan hunan cottave,158w8yorkave,new yorv city,212z5355223,cinese,29
cafffe-reggio,119macddougalst.between3rdandbleeckcrsts.,new yore,212/475-9x557,ccoffee bar,209,cafffereggio,119macddougalstbetween3rdandbleeckcrsts,new yore,2124759x557,ccoffee bar,30
tradjr vic'a,9876 wilshire iblvd.,los angelzs,310/276 63d5,asiean,169,tradjr vica,9876 wilshire iblvd,los angelzs,310276 63d5,asiean,31
carnegoe-deli,847thave.between54thand55thsts.,nkew york,212/77-2242,delicftessen,29,carnegoedeli,847thavebetween54thand55thsts,nkew york,212772242,delicftessen,32
lowcountry-bwrbecue,6301 roswel rd.  sandy sprigs plaza  sndy springs,atoanta,44-255-5160,barbemue,404,lowcountrybwrbecue,6301 roswel rd sandy sprigs plaza sndy springs,atoanta,442555160,barbemue,33
le chardonao,884 MELROSE AVE.,ls angeles,2h13/655-8880,crench,12,le chardonao,884 melrose ave,ls angeles,2h136558880,crench,34
camine's,2450 broadway  beteen 90th any 91st sts.,new zork,212-32-2200,itaplian,28,camines,2450 broadway beteen 90th any 91st sts,new zork,212322200,itaplian,9
alrotikoa,322 e. 14 st.  behtween 1st and 2nd avs.,new yornk,212/47d-2602,meditjerranean,175,alrotikoa,322 e 14 st behtween 1st and 2nd avs,new yornk,21247d2602,meditjerranean,35
sfuzzi Restayrant,p58 w 65th st,new yorw,212/8733702,ameican,348,sfuzzi restayrant,p58 w 65th st,new yorw,2128733702,ameican,36
jack spxrat's grill,l0668 w. pico blvd.,cos angeles,311/83b7-6662,health ood,140,jack spxrats grill,l0668 w pico blvd,cos angeles,31183b76662,health ood,37
Tommy Tfng'S,731 melrose ave.,los angekes,213/937 573,sian,167,tommy tfngs,731 melrose ave,los angekes,213937 573,sian,38
