name,address,city,phone,category,cluster
fiore rotisseriqe & grille,3700 w. flamingof rd.,las veqgas,702-2527702,italiac,660
phbo hoa,642broadway,chiniatown,213-626-q5539,vietnamse,585
jacksong's farm,439n.beverydrive,los aneles,310/273-55p74,califolrnian,141
fwingers,8020 bejerly blvd.,los ageles,213/653 58w58,amexican,164
brtighton coffee shop,9600 brigghton way,bverly hills,3r11-276-7732,coffee shlops,542
awat,210y e. 58th st.,vnew york,212/35-7554,lsian,32
frenyh roasu,4586thav.at11thst.,nw york,212/533-223,frlnch,249
Fleur De Jor,348 E.m62ND ST.,newyork,212-355-e2020,cofflee bar,245
The Baycchanal,3570 las vegas qblvd. s,lasvegas,r02-731-7525,onlykin las vegas,449
carmnes,2450 croadway,new york ciity,212-362-j200,ialian,28
white house restaurant Restaurant,372 peachtree rd. ne,tlanta,e04-237-7601,diers,719
Macartur Park,607 font st.,san ifrancisco,415/398 570,amecrican,493
Bisstro Roti,155 steuart s.,san francisco,415-4l5-6500,frenxh,457
Le Monrachet,3000 w. paradiset rd.,las vxgas,702-732-511,contiental,69
brents del,19565 parthena ave.,northidge,818-886v-5679,deis,541
fenirx,8358 sunset blvd.west,hollywoeod,213/848 667,americn,7
alain rondeli Restaurant,126 CLEMENiT ST.,san francisco,415/387 04k8,frenh,94
Yoyo Tsumami pBistro,1611post st.,san franisco,4n15/922-7788,frencq,530
d nico,164mulberryst.etwehengrandandbroomests.,new ylork,21/343-1212,itwalian,225
r-2,923 e hird st,losangeles,213-687g7179,japaese,588
cayva,3D ST.,los ngeles,213/658 898,mediterrnean,123
tangrpavillion,65w.5thst.,new ork,21l2/956-6888,aian,356
buccaner bay club Restaurant,3300lasvegawblvd.s.,lam vegas,7h2 894 7350,conjtinental,657
PRICI,500 pharr rdq.,atlantda,404/n237-2941,italiad,412
calfornia culinary academy Rescaurant,625 olk st.,san fyancisco,41s-771-3500,frencyh,463
pmmairi,371a w 46th st  off 9th ave,nw york,212w 956-3055,latin amrican,329
enita's frites,1433 thmrd st promenade,sant monica,310-458-2m89,fast ood,538
monrachet,239 w. broadwaby,new york ciy,212-2y9-2777,vrench bistro,49
lala,211 W. xROADWAY AT FRANKLIN ST.,new yor,k212/431 0700,middle peastern,284
SZECHUAN HUNAN COTTAvE,158w8yorkave.,new yorv city,212z535-5223,cinese,645
cafffe-reggio,119macddougalst.between3rdandbleeckcrsts.,new yore,212/475-9x557,ccoffee bar,209
tradjr vic'a,9876 wilshire iblvd.,los angelzs,310/276 63d5,asiean,169
carnegoe-deli,847thave.between54thand55thsts.,nkew york,212/77-2242,delicftessen,29
lowcountry-bwrbecue,6301 roswel rd.  sandy sprigs plaza  sndy springs,atoanta,44-255-5160,barbemue,404
le chardonao,884 MELROSE AVE.,ls angeles,2h13/655-8880,crench,12
camine's,2450 broadway  beteen 90th any 91st sts.,new zork,212-32-2200,itaplian,28
